q,i,n
problm,Not_Interested,benjaminanderson1352
problm,Unfollow,williambrooks8296
problm,Control,samuelcarter5725
problm,Not_Interested,danieldavis24679
problm,Unfollow,alexanderedwards7098
problm,Control,jamesfoster4864
problm,Not_Interested,christophergray6238
problm,Unfollow,matthewharris4528
problm,Control,henryjohnson37471
problm,Not_Interested,michaelking51899
problm,Unfollow,davidlewis2678
problm,Control,thomasmartinez5932
problm,Not_Interested,andrewnelson7425
problm,Unfollow,jospehparker74215
problm,Control,johnroberts87620
antiblm,Not_Interested,benjaminadams82573
antiblm,Unfollow,williamcarter12468
antiblm,Control,jamesevans36542
antiblm,Not_Interested,alexanderfoster98761
antiblm,Unfollow,henrygonzalez75214
antiblm,Control,andrewhill63985
antiblm,Not_Interested,danieljenkins87423
antiblm,Unfollow,matthewkelly58642
antiblm,Control,nathanlee31287
antiblm,Not_Interested,christophermartinez49632
antiblm,Unfollow,ethanowens23856
antiblm,Control,michealparker67543
antiblm,Not_Interested,jacobreynolds92487
antiblm,Unfollow,samuelturner14325
antiblm,Control,davidnelson75981
proabortion,Not_Interested,thomasanderson85396
proabortion,Unfollow,josephbrooks42178
proabortion,Control,ethanclark67924
proabortion,Not_Interested,matthewdavis28517
proabortion,Unfollow,alexanderedwards63481
proabortion,Control,christopherfisher91532
proabortion,Not_Interested,danielgray14785
proabortion,Unfollow,benjaminharris59346
proabortion,Control,noahjohnson42817
proabortion,Not_Interested,samuelking75123
proabortion,Unfollow,williamlewis36294
proabortion,Control,michealmitchell81745
proabortion,Not_Interested,andrewnelson67482
proabortion,Unfollow,jamesowens53641
proabortion,Control,jacobparker91247
antiabortion,Not_Interested,masonbennett16784
antiabortion,Unfollow,wyattcampbell82356
antiabortion,Control,gabrielfoster49582
antiabortion,Not_Interested,owengrayson75294
antiabortion,Unfollow,elihenderson38147
antiabortion,Control,levijenkins64921
antiabortion,Not_Interested,isaacmitchell27489
antiabortion,Unfollow,calebmorgan53621
antiabortion,Control,jackpeterson91834
antiabortion,Not_Interested,lukereynolds45723
antiabortion,Unfollow,ryansullivan82315
antiabortion,Control,adamthompson16592
antiabortion,Not_Interested,henrywallace73264
antiabortion,Unfollow,connorwest24938
antiabortion,Control,dylanyoung62341

